Date,Close,High,Low,Open,Volume
25-07-2016,414.6243286,423.369732,410.4350434,410.4350434,42506328
01-08-2016,412.3655396,420.0298147,409.2766591,413.7169247,32979870
08-08-2016,410.261261,422.7905135,409.2766615,412.751652,29900662
15-08-2016,394.334198,410.2612615,393.2337938,410.2612615,37148740
22-08-2016,393.9288635,410.068286,389.6237261,393.0601157,35467238
29-08-2016,398.4076233,403.7745621,390.3572386,392.9055554,26945952
05-09-2016,399.8170166,408.8906041,395.3767504,398.4077053,29786726
12-09-2016,409.3345947,411.0141641,395.859344,395.859344,26006620
19-09-2016,402.539093,412.7130845,401.5544934,403.871154,23089498
26-09-2016,400.0294189,405.3770348,395.376773,402.616338,33737158
03-10-2016,390.9557495,405.95614,390.0097751,399.8169804,21040760
10-10-2016,396.5930481,418.0414385,384.6622351,392.6740207,48653550
17-10-2016,400.8981323,405.6858598,392.8090975,399.6046258,25311938
24-10-2016,389.2754822,406.9148133,387.5778994,404.8855266,24382700
31-10-2016,378.9338379,392.9048232,375.0313267,389.2754926,22940648
07-11-2016,359.6358948,385.4705222,351.6162395,384.3973317,36947050
14-11-2016,359.0310364,373.4117809,354.5626562,359.6359209,33205424
21-11-2016,381.470459,384.3973423,353.938248,361.7237624,51087504
28-11-2016,376.3972168,384.2802944,375.0508456,382.1729288,31056954
05-12-2016,386.0948792,393.4316182,373.8605179,376.9435108,25197712
12-12-2016,392.2609253,397.646386,376.6703882,383.5387984,29985074
19-12-2016,385.7437134,398.8366333,378.3484501,392.6316312,33470698
26-12-2016,394.3876648,394.9340257,380.5337538,385.5680014,27111352
02-01-2017,379.4216309,395.3048553,377.7825715,394.5828765,38787812
09-01-2017,380.8070068,405.8611314,375.6947271,379.4216202,77859106
16-01-2017,370.2312012,376.7679067,369.1775185,376.592289,41865650
23-01-2017,367.6750183,373.8604876,351.674726,368.7872242,35387818
30-01-2017,365.3140564,371.323933,352.9235836,365.8604175,67221750
06-02-2017,377.8800964,379.3240301,362.3676168,365.7628058,46475616
13-02-2017,390.2901001,395.6755841,375.7532472,379.655758,47989638
20-02-2017,393.704834,402.3489058,384.9437154,388.8852422,28415152
27-02-2017,402.4269104,403.6367269,390.4072052,393.0999235,23901386
06-03-2017,398.7781067,404.2806381,389.8608779,398.0756594,24141012
13-03-2017,405.9782715,406.9929149,393.1780153,398.7781095,30463176
20-03-2017,402.5049744,407.4221285,396.1438627,400.6122662,22673382
27-03-2017,398.9342651,406.5831787,393.3731859,400.8659894,45773840
03-04-2017,383.0508728,402.9146349,382.0557375,402.7975881,23497454
10-04-2017,363.4798279,386.3485293,361.6261354,384.3582585,55853878
17-04-2017,360.4749756,364.8067536,356.1627053,362.933553,30059120
24-04-2017,358.6212158,365.0993739,355.2065191,358.055347,32205132
01-05-2017,363.5189209,366.6994771,357.118793,358.6212741,17603168
08-05-2017,376.2995911,376.9825304,363.7139942,366.0555006,27930250
15-05-2017,373.8410339,380.0655435,367.9482282,376.0069227,28658084
22-05-2017,388.5729675,390.2510422,370.5823802,374.0166084,30605838
29-05-2017,378.328949,390.2511158,374.0752023,386.6998402,27215816
05-06-2017,375.8663635,391.8345621,365.7228152,384.3457537,45879444
12-06-2017,372.5579224,383.5335767,370.8739328,373.7862345,37444092
19-06-2017,373.746582,383.8307115,367.7040319,372.4390187,31644380
